coin,blockchain,time_range,whale_transaction_count,total_volume
ETH,Ethereum,2024-04-04 13:00,19,1585.36
SOL,Solana,2024-03-30 19:00,2,1391.77
ETH,Ethereum,2024-03-17 10:00,17,20249.24
BTC,Bitcoin,2024-08-22 13:00,11,18979.38
ADA,Cardano,2025-02-28 18:00,5,519.12
BTC,Bitcoin,2025-04-24 22:00,9,26445.63
SOL,Solana,2024-03-14 21:00,7,2535.89
BTC,Bitcoin,2024-01-11 22:00,13,20554.26
SOL,Solana,2025-07-03 08:00,6,1379.52
ETH,Ethereum,2025-04-21 16:00,16,11239.3
BTC,Bitcoin,2024-01-31 10:00,10,36698.58
BTC,Bitcoin,2024-08-17 03:00,7,30320.64
ADA,Cardano,2025-01-05 01:00,5,661.54
SOL,Solana,2024-09-01 10:00,6,580.04
SOL,Solana,2025-04-21 19:00,8,1545.38
BTC,Bitcoin,2025-04-04 15:00,5,6403.23
ADA,Cardano,2024-07-27 09:00,4,411.55
ETH,Ethereum,2025-02-13 21:00,13,9590.69
BTC,Bitcoin,2024-02-28 00:00,11,25159.46
ETH,Ethereum,2024-10-06 06:00,16,8377.44
BTC,Bitcoin,2025-04-06 17:00,9,17657.98
ADA,Cardano,2024-04-24 21:00,7,1562.32
ETH,Ethereum,2024-03-15 14:00,13,11070.1
ETH,Ethereum,2025-06-04 16:00,20,8524.46
BTC,Bitcoin,2024-10-13 10:00,11,30238.7
BTC,Bitcoin,2025-05-26 07:00,7,21155.21
BTC,Bitcoin,2024-07-22 19:00,18,11903.9
ETH,Ethereum,2024-09-19 21:00,14,3410.63
ETH,Ethereum,2024-01-31 02:00,19,20319.02
ADA,Cardano,2024-04-22 21:00,2,758.43
ETH,Ethereum,2025-02-22 04:00,11,4353.36
BTC,Bitcoin,2024-09-23 19:00,9,32362.65
SOL,Solana,2025-04-17 04:00,14,3988.87
BTC,Bitcoin,2025-02-14 21:00,2,1683.74
ETH,Ethereum,2024-06-01 12:00,18,12074.84
SOL,Solana,2024-11-06 08:00,4,2410.31
BTC,Bitcoin,2025-01-22 03:00,16,36138.79
SOL,Solana,2024-07-30 04:00,7,1333.61
BTC,Bitcoin,2025-01-25 06:00,6,16318.0
SOL,Solana,2025-02-06 13:00,11,2834.68
SOL,Solana,2024-07-26 11:00,7,192.39
BTC,Bitcoin,2024-05-21 07:00,15,33535.16
SOL,Solana,2024-05-12 01:00,12,3183.25
ETH,Ethereum,2025-04-26 23:00,9,6224.3
SOL,Solana,2024-07-19 01:00,6,2806.3
ETH,Ethereum,2024-12-07 15:00,13,10585.3
BTC,Bitcoin,2024-01-25 20:00,11,28141.39
BTC,Bitcoin,2025-04-23 09:00,6,22265.03
ADA,Cardano,2024-07-08 06:00,3,811.44
ETH,Ethereum,2024-05-14 16:00,16,17440.54
BTC,Bitcoin,2024-03-27 03:00,14,22627.76
ETH,Ethereum,2024-10-24 04:00,15,7183.66
SOL,Solana,2024-06-17 15:00,10,511.53
SOL,Solana,2024-05-09 11:00,18,2951.72
ETH,Ethereum,2024-12-26 14:00,12,4834.13
ETH,Ethereum,2024-10-11 07:00,12,16870.34
BTC,Bitcoin,2025-04-10 14:00,8,25193.91
SOL,Solana,2025-02-02 00:00,4,4710.27
ETH,Ethereum,2025-06-12 08:00,14,9597.49
ADA,Cardano,2024-04-01 13:00,8,724.58
BTC,Bitcoin,2024-02-27 16:00,11,20224.57
ADA,Cardano,2024-08-07 23:00,1,1433.86
BTC,Bitcoin,2025-01-05 06:00,16,26780.3
ADA,Cardano,2024-05-18 11:00,5,1120.66
SOL,Solana,2024-12-13 01:00,5,1947.9
BTC,Bitcoin,2024-06-07 18:00,6,18766.89
BTC,Bitcoin,2025-06-08 20:00,6,20214.41
BTC,Bitcoin,2025-02-08 23:00,6,6537.74
BTC,Bitcoin,2025-05-25 14:00,11,31646.84
BTC,Bitcoin,2024-05-26 20:00,13,37858.71
BTC,Bitcoin,2024-11-13 08:00,10,39239.64
ETH,Ethereum,2024-01-26 19:00,15,10494.13
ADA,Cardano,2025-02-12 22:00,2,1370.14
BTC,Bitcoin,2024-07-29 13:00,10,32899.15
ETH,Ethereum,2024-06-27 09:00,15,8514.18
ETH,Ethereum,2024-06-15 10:00,5,10600.82
ETH,Ethereum,2024-11-02 05:00,7,12523.71
ETH,Ethereum,2024-03-13 09:00,12,4919.13
ADA,Cardano,2024-07-18 10:00,6,478.37
BTC,Bitcoin,2025-07-12 19:00,10,27258.87
SOL,Solana,2024-06-02 15:00,5,2171.26
SOL,Solana,2025-07-11 08:00,7,1558.67
SOL,Solana,2024-01-17 15:00,9,3773.72
ETH,Ethereum,2024-05-11 07:00,16,14644.66
BTC,Bitcoin,2024-08-14 19:00,13,10109.61
ADA,Cardano,2024-05-17 20:00,5,463.56
ETH,Ethereum,2024-08-02 13:00,14,13000.62
SOL,Solana,2025-04-10 20:00,3,1889.3
ADA,Cardano,2024-03-29 09:00,4,1049.41
ETH,Ethereum,2024-01-17 02:00,18,9145.69
BTC,Bitcoin,2024-02-08 23:00,14,19497.74
ETH,Ethereum,2024-02-22 18:00,11,15867.22
SOL,Solana,2024-03-22 02:00,7,1388.29
SOL,Solana,2024-02-14 02:00,12,2212.83
BTC,Bitcoin,2024-01-29 17:00,9,28274.95
SOL,Solana,2024-01-04 14:00,14,3022.73
ADA,Cardano,2025-02-03 23:00,4,1277.52
BTC,Bitcoin,2024-02-23 10:00,5,17218.51
BTC,Bitcoin,2024-08-26 05:00,7,24502.0
SOL,Solana,2024-03-03 10:00,10,2079.66
ETH,Ethereum,2024-09-19 00:00,22,8530.5
BTC,Bitcoin,2025-05-26 10:00,9,26951.89
ADA,Cardano,2024-07-17 22:00,8,837.25
SOL,Solana,2025-01-16 06:00,10,2535.56
BTC,Bitcoin,2025-01-03 08:00,6,33323.67
ADA,Cardano,2025-03-03 02:00,2,995.35
ADA,Cardano,2024-02-15 20:00,3,1887.1
ETH,Ethereum,2024-03-08 22:00,13,11492.62
BTC,Bitcoin,2024-11-13 21:00,5,25993.54
BTC,Bitcoin,2024-09-05 00:00,8,27872.78
ETH,Ethereum,2025-04-10 04:00,9,14687.27
ETH,Ethereum,2025-02-13 14:00,12,16031.74
BTC,Bitcoin,2024-10-05 06:00,14,35108.56
BTC,Bitcoin,2024-05-18 00:00,3,12498.46
ADA,Cardano,2025-04-29 03:00,2,892.51
BTC,Bitcoin,2024-08-03 06:00,15,4214.18
SOL,Solana,2025-06-23 01:00,14,4983.9
ETH,Ethereum,2024-09-11 04:00,16,0.0
SOL,Solana,2024-06-25 20:00,3,2714.93
ETH,Ethereum,2024-07-24 00:00,10,24581.37
BTC,Bitcoin,2024-08-01 17:00,5,17434.96
SOL,Solana,2025-03-14 01:00,5,2170.18
ETH,Ethereum,2025-03-01 19:00,13,0.0
ADA,Cardano,2025-06-23 11:00,5,769.36
BTC,Bitcoin,2025-04-15 20:00,6,34377.95
BTC,Bitcoin,2025-04-28 06:00,7,20348.51
ADA,Cardano,2025-02-02 01:00,3,1266.51
BTC,Bitcoin,2025-01-22 20:00,9,30712.49
BTC,Bitcoin,2024-03-17 13:00,6,19122.08
ADA,Cardano,2024-03-21 21:00,4,586.25
ETH,Ethereum,2024-08-10 04:00,13,980.67
ETH,Ethereum,2024-11-25 00:00,13,6298.43
SOL,Solana,2024-05-17 01:00,10,2632.25
ADA,Cardano,2024-12-23 19:00,1,834.22
SOL,Solana,2024-08-15 03:00,12,2137.8
BTC,Bitcoin,2025-06-13 09:00,10,15201.28
SOL,Solana,2024-08-09 08:00,4,2786.35
ADA,Cardano,2024-09-11 19:00,5,781.02
BTC,Bitcoin,2024-06-18 23:00,12,24207.83
SOL,Solana,2024-11-13 20:00,7,2426.8
SOL,Solana,2024-06-02 14:00,10,1161.6
BTC,Bitcoin,2025-06-20 21:00,8,26330.01
SOL,Solana,2024-05-18 06:00,10,2889.24
ETH,Ethereum,2024-10-01 12:00,18,9529.97
ADA,Cardano,2024-02-29 19:00,6,1548.59
BTC,Bitcoin,2024-10-12 09:00,4,33257.34
ADA,Cardano,2024-10-19 07:00,4,1457.31
BTC,Bitcoin,2025-02-17 04:00,6,10229.33
SOL,Solana,2025-01-04 18:00,11,2029.74
BTC,Bitcoin,2024-04-30 16:00,13,38426.69
ETH,Ethereum,2024-01-21 17:00,14,11267.7
BTC,Bitcoin,2024-10-01 00:00,17,26940.32
SOL,Solana,2024-04-15 14:00,10,2055.82
ADA,Cardano,2024-09-22 02:00,3,313.24
ETH,Ethereum,2024-07-10 13:00,19,15467.82
BTC,Bitcoin,2024-03-01 13:00,12,18846.85
SOL,Solana,2024-07-11 19:00,5,3841.8
ADA,Cardano,2024-11-01 17:00,4,409.89
ETH,Ethereum,2025-03-30 21:00,11,700.4
ADA,Cardano,2024-09-29 19:00,2,1258.93
BTC,Bitcoin,2025-05-02 02:00,8,23439.57
SOL,Solana,2025-04-18 14:00,9,2745.39
BTC,Bitcoin,2025-03-31 12:00,12,33670.28
BTC,Bitcoin,2025-04-11 12:00,14,26441.43
BTC,Bitcoin,2024-08-10 10:00,9,11481.42
ETH,Ethereum,2024-01-08 09:00,23,15106.83
ADA,Cardano,2025-07-20 17:00,2,738.15
SOL,Solana,2025-04-23 14:00,7,1194.76
SOL,Solana,2024-08-19 02:00,9,2576.84
ETH,Ethereum,2024-12-23 04:00,19,18687.34
BTC,Bitcoin,2024-10-31 09:00,16,25725.62
ADA,Cardano,2024-12-14 22:00,4,157.59
BTC,Bitcoin,2024-08-27 13:00,6,11212.12
SOL,Solana,2024-08-04 16:00,13,2214.96
ETH,Ethereum,2024-04-13 02:00,18,14677.67
BTC,Bitcoin,2025-03-16 17:00,8,22724.65
SOL,Solana,2025-04-08 16:00,8,2479.01
ADA,Cardano,2024-07-26 16:00,3,453.15
BTC,Bitcoin,2024-05-19 06:00,10,35778.54
ADA,Cardano,2024-02-07 04:00,4,1494.06
BTC,Bitcoin,2025-01-13 20:00,13,32299.42
SOL,Solana,2025-07-12 05:00,7,2752.52
ADA,Cardano,2025-03-15 08:00,5,531.48
ADA,Cardano,2024-08-13 21:00,6,1214.98
ETH,Ethereum,2024-06-15 17:00,15,7415.09
SOL,Solana,2024-04-23 21:00,6,2127.37
SOL,Solana,2024-01-22 04:00,10,2368.47
SOL,Solana,2024-01-16 15:00,7,2997.93
SOL,Solana,2025-02-02 22:00,11,2225.56
BTC,Bitcoin,2025-07-14 07:00,5,34846.7
SOL,Solana,2025-03-06 07:00,5,1514.55
BTC,Bitcoin,2025-03-27 04:00,7,13746.18
SOL,Solana,2024-05-09 17:00,12,3241.59
SOL,Solana,2025-07-14 02:00,4,2988.04
BTC,Bitcoin,2024-11-26 03:00,12,15389.87
BTC,Bitcoin,2024-12-17 07:00,7,26949.74
SOL,Solana,2024-08-25 07:00,3,1793.2
BTC,Bitcoin,2024-02-24 08:00,10,15330.81
ETH,Ethereum,2024-10-12 10:00,19,14300.81
ETH,Ethereum,2024-09-06 17:00,12,9381.09
ETH,Ethereum,2025-06-05 20:00,17,12292.95
SOL,Solana,2024-03-10 17:00,4,2166.63
ETH,Ethereum,2024-10-02 03:00,25,12263.03
ETH,Ethereum,2024-04-20 21:00,17,5216.99
ADA,Cardano,2024-06-05 15:00,3,1007.77
SOL,Solana,2024-04-15 16:00,7,3069.09
BTC,Bitcoin,2024-01-10 08:00,13,31823.77
SOL,Solana,2024-05-05 04:00,8,2025.06
SOL,Solana,2024-09-26 09:00,10,2031.12
BTC,Bitcoin,2025-07-04 10:00,5,19430.92
ADA,Cardano,2024-08-22 18:00,1,1063.65
BTC,Bitcoin,2024-04-17 00:00,9,20665.52
SOL,Solana,2024-03-17 05:00,7,1387.37
ETH,Ethereum,2025-02-10 09:00,10,19759.34
