blockchain,Time_range,whale_transaction_count,total_volume
BSC,2025-07-25 12:00,1,659.3147806000001
Ethereum,2025-07-25 12:00,15,74502.47944231465
Ethereum,2025-07-25 11:00,19,81627.84853148906
BSC,2025-07-25 10:00,7,14007.2830932084
Ethereum,2025-07-25 10:00,10,35341.80852375505
BSC,2025-07-25 09:00,3,2226.9948317375
Ethereum,2025-07-25 09:00,21,105563.86982794313
BSC,2025-07-25 08:00,48,24857.570317706493
Ethereum,2025-07-25 08:00,19,80610.64618715031
BSC,2025-07-25 07:00,6,10106.3192805458
Ethereum,2025-07-25 07:00,16,70162.09017208825
BSC,2025-07-25 06:00,1,848.3
Ethereum,2025-07-25 06:00,15,57628.02156813703
BSC,2025-07-25 05:00,1,1225.2352503003
Ethereum,2025-07-25 05:00,8,20751.775016135667
